# iteration  loss_bc  loss_res  l2_error
3.260000e+04 3.783766e-01 2.331379e+00 3.548637e-01
3.270000e+04 3.788725e-01 2.855408e+00 3.547854e-01
3.280000e+04 3.770347e-01 1.777658e+00 3.545022e-01
3.290000e+04 3.770467e-01 2.798646e+00 3.542484e-01
3.300000e+04 3.775024e-01 7.761419e-01 3.540377e-01
3.310000e+04 3.759761e-01 1.225250e+00 3.536812e-01
3.320000e+04 3.755040e-01 1.852753e+00 3.533629e-01
3.330000e+04 3.759275e-01 1.370916e+00 3.530037e-01
3.340000e+04 3.740020e-01 2.534925e+00 3.527917e-01
3.350000e+04 3.744137e-01 2.113963e+00 3.526773e-01
3.360000e+04 3.728447e-01 2.012559e+00 3.522635e-01
3.370000e+04 3.731354e-01 2.442230e+00 3.519256e-01
3.380000e+04 3.716104e-01 4.045856e+00 3.518420e-01
3.390000e+04 3.720994e-01 1.212541e+00 3.513761e-01
3.400000e+04 3.718790e-01 2.749091e+00 3.512053e-01
3.410000e+04 3.714538e-01 1.272925e+00 3.509862e-01
3.420000e+04 3.702648e-01 1.495317e+00 3.507733e-01
3.430000e+04 3.702882e-01 1.403001e+00 3.505132e-01
3.440000e+04 3.684175e-01 1.792110e+00 3.501385e-01
3.450000e+04 3.684982e-01 2.466568e+00 3.496620e-01
3.460000e+04 3.673704e-01 1.405401e+00 3.495999e-01
3.470000e+04 3.669129e-01 2.016413e+00 3.493408e-01
3.480000e+04 3.669540e-01 1.328202e+00 3.491410e-01
3.490000e+04 3.664780e-01 1.686471e+00 3.486983e-01
3.500000e+04 3.655663e-01 1.627425e+00 3.484703e-01
3.510000e+04 3.654848e-01 1.985707e+00 3.482425e-01
3.520000e+04 3.652438e-01 2.525598e+00 3.479972e-01
3.530000e+04 3.637601e-01 1.746111e+00 3.477100e-01
3.540000e+04 3.633052e-01 2.244916e+00 3.474222e-01
3.550000e+04 3.622361e-01 1.407928e+00 3.472742e-01
3.560000e+04 3.617257e-01 1.936768e+00 3.470178e-01
3.570000e+04 3.628275e-01 1.612902e+00 3.466038e-01
3.580000e+04 3.616496e-01 1.785442e+00 3.463361e-01
3.590000e+04 3.612319e-01 1.871466e+00 3.461990e-01
3.600000e+04 3.597708e-01 1.032490e+00 3.458507e-01
3.610000e+04 3.596954e-01 1.072186e+00 3.456517e-01
3.620000e+04 3.588910e-01 1.805876e+00 3.453621e-01
3.630000e+04 3.583884e-01 1.664037e+00 3.450260e-01
3.640000e+04 3.579124e-01 1.339086e+00 3.448051e-01
3.650000e+04 3.565921e-01 1.132438e+00 3.445352e-01
3.660000e+04 3.567373e-01 1.464781e+00 3.443290e-01
3.670000e+04 3.563610e-01 1.372894e+00 3.439367e-01
3.680000e+04 3.560505e-01 1.180856e+00 3.437113e-01
3.690000e+04 3.560335e-01 1.398908e+00 3.433722e-01
3.700000e+04 3.552036e-01 2.211107e+00 3.432923e-01
3.710000e+04 3.540705e-01 1.320738e+00 3.429841e-01
3.720000e+04 3.538770e-01 1.172181e+00 3.425051e-01
3.730000e+04 3.530246e-01 1.272165e+00 3.424090e-01
3.740000e+04 3.512364e-01 1.625590e+00 3.422372e-01
3.750000e+04 3.521476e-01 1.795129e+00 3.421179e-01
3.760000e+04 3.515381e-01 1.133964e+00 3.417066e-01
3.770000e+04 3.508454e-01 1.390496e+00 3.414565e-01
3.780000e+04 3.513796e-01 1.918968e+00 3.411873e-01
3.790000e+04 3.511930e-01 1.028602e+00 3.410575e-01
3.800000e+04 3.497823e-01 1.074439e+00 3.406740e-01
3.810000e+04 3.499224e-01 1.303530e+00 3.405715e-01
3.820000e+04 3.483560e-01 1.108079e+00 3.404292e-01
3.830000e+04 3.473801e-01 1.103099e+00 3.402465e-01
3.840000e+04 3.485272e-01 9.360483e-01 3.399419e-01
3.850000e+04 3.478140e-01 1.057044e+00 3.395234e-01
3.860000e+04 3.471787e-01 1.121822e+00 3.394583e-01
3.870000e+04 3.466758e-01 9.114656e-01 3.392093e-01
3.880000e+04 3.457559e-01 9.037582e-01 3.389077e-01
3.890000e+04 3.458375e-01 1.216785e+00 3.387704e-01
3.900000e+04 3.441612e-01 1.148775e+00 3.384735e-01
3.910000e+04 3.448182e-01 8.736455e-01 3.382845e-01
3.920000e+04 3.440561e-01 1.034278e+00 3.379073e-01
3.930000e+04 3.438348e-01 1.238274e+00 3.377150e-01
3.940000e+04 3.432266e-01 7.474154e-01 3.374656e-01
3.950000e+04 3.438755e-01 1.187978e+00 3.371332e-01
3.960000e+04 3.423938e-01 7.328931e-01 3.369065e-01
3.970000e+04 3.425370e-01 6.359767e-01 3.366680e-01
3.980000e+04 3.421803e-01 1.312319e+00 3.365059e-01
3.990000e+04 3.414904e-01 7.732894e-01 3.363714e-01
