# iteration  l2_NN  l2_FF  l2_mFF
2.210000e+04 1.696546e+00 3.858162e-01 3.346905e-03
2.220000e+04 1.666390e+00 3.853151e-01 6.920676e-03
2.230000e+04 1.626242e+00 3.857094e-01 4.322066e-03
2.240000e+04 1.641049e+00 3.851054e-01 2.386135e-03
2.250000e+04 1.731709e+00 3.847116e-01 1.670185e-03
2.260000e+04 1.619180e+00 3.843339e-01 5.525311e-03
2.270000e+04 1.606527e+00 3.840973e-01 3.634757e-03
2.280000e+04 1.607115e+00 3.840849e-01 3.604419e-03
2.290000e+04 1.649454e+00 3.840005e-01 1.874052e-03
2.300000e+04 1.615309e+00 3.834900e-01 1.917331e-03
2.310000e+04 1.620134e+00 3.828615e-01 1.183846e-02
2.320000e+04 1.612649e+00 3.829364e-01 5.889779e-03
2.330000e+04 1.681036e+00 3.822881e-01 2.724861e-03
2.340000e+04 1.732497e+00 3.820665e-01 4.372954e-03
2.350000e+04 1.719553e+00 3.814497e-01 2.193465e-03
2.360000e+04 1.675562e+00 3.807672e-01 5.627436e-03
2.370000e+04 1.712777e+00 3.809100e-01 4.227558e-03
2.380000e+04 1.758884e+00 3.804352e-01 2.972454e-03
2.390000e+04 1.768992e+00 3.805599e-01 3.810400e-03
2.400000e+04 1.756992e+00 3.801504e-01 1.353752e-03
2.410000e+04 1.709452e+00 3.800234e-01 2.441431e-03
2.420000e+04 1.735388e+00 3.801640e-01 5.231804e-03
2.430000e+04 1.691579e+00 3.793943e-01 3.184803e-03
2.440000e+04 1.698017e+00 3.789879e-01 3.243607e-03
2.450000e+04 1.761877e+00 3.787864e-01 3.274516e-03
2.460000e+04 1.809871e+00 3.784936e-01 3.528119e-03
2.470000e+04 1.823316e+00 3.780255e-01 4.340625e-03
2.480000e+04 1.818238e+00 3.782719e-01 1.016231e-02
2.490000e+04 1.807358e+00 3.777267e-01 1.447923e-03
2.500000e+04 1.808967e+00 3.773785e-01 4.096681e-03
2.510000e+04 1.754942e+00 3.770810e-01 1.067045e-03
2.520000e+04 1.779790e+00 3.768725e-01 3.405469e-03
2.530000e+04 1.797311e+00 3.764780e-01 3.665445e-03
2.540000e+04 1.787897e+00 3.762414e-01 3.328389e-03
2.550000e+04 1.812624e+00 3.761075e-01 1.135465e-03
2.560000e+04 1.852582e+00 3.755772e-01 3.871671e-03
2.570000e+04 1.803873e+00 3.751574e-01 2.756818e-03
