# iter	loss_total	loss_res	loss_ics	loss_bcs	l2_u	lambda_ics	lambda_bcs
1.15000000e+04	9.70248282e-01	8.92485201e-01	1.16189115e-03	1.07595275e-04	2.69630663e-02	6.47819138e+01	2.44688599e+02
1.16000000e+04	1.07112718e+00	9.40131903e-01	2.62681674e-03	1.13289265e-04	1.88648589e-02	3.45520973e+01	2.77682922e+02
1.17000000e+04	5.58056295e-01	4.88993526e-01	1.40106515e-03	7.92927312e-05	1.83668602e-02	3.29640388e+01	2.54873779e+02
1.18000000e+04	7.16148913e-01	6.32596016e-01	1.81605108e-03	7.49216051e-05	1.95056405e-02	3.28163261e+01	2.64150513e+02
1.19000000e+04	7.84194112e-01	4.00401652e-01	4.31167893e-03	3.76562792e-04	3.11971046e-02	5.73185005e+01	2.97118622e+02
1.20000000e+04	1.86106873e+00	1.39971685e+00	7.49279279e-03	1.90713734e-04	2.91364044e-02	5.59376984e+01	2.72053497e+02
1.21000000e+04	2.97929347e-01	2.37938285e-01	1.09030108e-03	5.75142840e-05	2.22513601e-02	4.34090729e+01	2.57895203e+02
1.22000000e+04	3.73532504e-01	2.95000255e-01	1.59746094e-03	3.96386386e-05	1.85787361e-02	4.46980972e+01	2.73446655e+02
1.23000000e+04	4.12678331e-01	3.21365982e-01	1.71994441e-03	5.68596552e-05	1.75678898e-02	4.09557037e+01	2.89624329e+02
1.24000000e+04	7.64147282e-01	6.02186859e-01	2.33658217e-03	5.72912322e-05	1.93423610e-02	6.47298508e+01	3.38039062e+02
1.25000000e+04	7.78900921e-01	7.04481959e-01	1.06265477e-03	8.54468526e-05	2.28116848e-02	6.04512711e+01	2.90031158e+02
1.26000000e+04	4.55075413e-01	3.79470229e-01	1.37243420e-03	7.42835837e-05	1.80147812e-02	3.99562569e+01	2.14752533e+02
1.27000000e+04	4.30014580e-01	2.72157222e-01	2.35740794e-03	4.30848413e-05	1.85989477e-02	5.77307854e+01	2.50614868e+02
1.28000000e+04	5.62269688e-01	4.86567229e-01	1.46863156e-03	5.51197190e-05	1.60794668e-02	4.72265930e+01	2.25004242e+02
1.29000000e+04	3.87960136e-01	3.18018228e-01	1.44479319e-03	6.02914188e-05	1.65253449e-02	3.52423553e+01	2.49229553e+02
1.30000000e+04	4.23728645e-01	3.04705322e-01	2.05343938e-03	6.04687957e-05	2.02741101e-02	7.31596985e+01	3.12106995e+02
1.31000000e+04	6.35612965e-01	5.62629342e-01	8.76239501e-04	8.59926222e-05	1.97138060e-02	5.30647087e+01	2.67867462e+02
1.32000000e+04	3.86228561e-01	2.90123165e-01	1.43906288e-03	7.22861732e-05	2.01463569e-02	5.02734642e+01	2.37257141e+02
1.33000000e+04	6.71674609e-01	5.43201864e-01	1.14355574e-03	6.84967235e-05	1.89746264e-02	8.50234909e+01	2.90954803e+02
1.34000000e+04	6.89153731e-01	4.54516053e-01	3.00822174e-03	2.02078678e-04	1.30080776e-02	5.66597366e+01	2.43643005e+02
1.35000000e+04	4.84153718e-01	4.39930469e-01	8.40996858e-04	5.47148047e-05	1.84281822e-02	3.46397820e+01	2.93652252e+02
1.36000000e+04	6.93837285e-01	5.89391470e-01	1.22806290e-03	8.15979438e-05	1.90036930e-02	6.26933632e+01	2.28808502e+02
1.37000000e+04	4.38482136e-01	3.25052977e-01	1.27763720e-03	7.89350670e-05	1.96739566e-02	6.47789001e+01	2.92898132e+02
1.38000000e+04	6.97923422e-01	5.62033057e-01	1.33179897e-03	1.99913018e-04	2.94162016e-02	4.42284584e+01	3.34559998e+02
1.39000000e+04	6.04157031e-01	5.43963313e-01	1.04621460e-03	6.19167913e-05	1.39420265e-02	4.05383301e+01	2.94124634e+02
1.40000000e+04	2.74558336e-01	2.37403840e-01	8.75061087e-04	3.60418453e-05	1.26287090e-02	3.18046379e+01	2.35487778e+02
1.41000000e+04	7.62623608e-01	7.00401306e-01	1.38668448e-03	8.34801831e-05	1.60314720e-02	3.08696499e+01	2.37318192e+02
1.42000000e+04	3.95282388e-01	2.56712556e-01	2.08618678e-03	4.72963293e-05	1.81778874e-02	5.46173973e+01	2.82367035e+02
1.43000000e+04	2.52148843e+00	2.36849260e+00	7.90143968e-04	2.95389502e-04	3.84433791e-02	7.57507553e+01	4.04510620e+02
1.44000000e+04	3.11963409e-01	2.36326173e-01	1.31438544e-03	5.45889852e-05	1.94552969e-02	4.10471840e+01	3.30753143e+02
1.45000000e+04	2.70685434e-01	2.05570847e-01	9.35043325e-04	4.30563414e-05	1.66567266e-02	4.98635902e+01	3.22196503e+02
1.46000000e+04	4.01892751e-01	3.15617353e-01	2.07939581e-03	4.05241917e-05	1.55837107e-02	3.37788391e+01	2.58952942e+02
1.47000000e+04	3.11100572e-01	2.53050476e-01	9.84128332e-04	4.58759241e-05	1.51020018e-02	7.70791931e+01	3.08642487e+02
1.48000000e+04	4.81566906e-01	3.46519649e-01	1.67710334e-03	4.26947299e-05	1.61837060e-02	6.71602325e+01	2.40614624e+02
1.49000000e+04	3.44854474e-01	2.07046032e-01	2.30445922e-03	6.24465174e-05	1.85281988e-02	4.92496223e+01	2.29201309e+02
1.50000000e+04	3.06541920e-01	2.31636673e-01	1.82488770e-03	2.28149729e-05	1.92092583e-02	3.48381767e+01	2.44446533e+02
1.51000000e+04	3.48261863e-01	2.42341071e-01	2.54138187e-03	3.78189216e-05	1.63926370e-02	3.51418114e+01	2.35655182e+02
1.52000000e+04	2.67133653e-01	2.23873138e-01	7.55625311e-04	4.92048312e-05	1.96593255e-02	3.99761963e+01	2.29682800e+02
1.53000000e+04	3.32602590e-01	2.88609684e-01	9.31171060e-04	4.67205100e-05	1.81576237e-02	3.32264977e+01	2.56650970e+02
1.54000000e+04	4.02494848e-01	3.52236331e-01	9.71473753e-04	3.95796960e-05	1.37524512e-02	4.00722961e+01	2.41238541e+02
1.55000000e+04	4.09871995e-01	3.34287584e-01	1.99244311e-03	5.90198542e-05	1.32366773e-02	3.55635071e+01	2.25810699e+02
1.56000000e+04	1.90331966e-01	1.58235371e-01	6.47505920e-04	3.03278903e-05	1.15543231e-02	3.86306190e+01	2.36362335e+02
1.57000000e+04	2.97357351e-01	2.48770222e-01	1.24028593e-03	4.78020811e-05	1.33987181e-02	2.93249893e+01	2.40630936e+02
1.58000000e+04	3.84892285e-01	3.26315820e-01	1.12556329e-03	4.94759624e-05	1.49779133e-02	3.91029053e+01	2.30571838e+02
1.59000000e+04	9.83331323e-01	5.79530478e-01	7.38515100e-03	5.52357960e-05	2.18462888e-02	4.79766922e+01	2.98410339e+02
