# iteration  lambda_u  lambda_ut  lambda_r
2.910000e+04 9.352984e+05 5.493495e+05 1.000003e+00
2.920000e+04 8.757208e+05 5.207399e+05 1.000003e+00
2.930000e+04 9.222388e+05 6.686619e+05 1.000003e+00
2.940000e+04 9.470822e+05 5.909047e+05 1.000003e+00
2.950000e+04 9.069593e+05 5.888697e+05 1.000003e+00
2.960000e+04 9.388781e+05 5.926806e+05 1.000003e+00
2.970000e+04 9.561166e+05 6.252733e+05 1.000003e+00
2.980000e+04 9.075664e+05 5.925632e+05 1.000003e+00
2.990000e+04 9.215632e+05 6.295092e+05 1.000003e+00
3.000000e+04 9.283357e+05 5.753119e+05 1.000003e+00
3.010000e+04 9.068597e+05 5.744492e+05 1.000003e+00
3.020000e+04 9.311306e+05 5.582161e+05 1.000003e+00
3.030000e+04 9.552300e+05 6.161889e+05 1.000003e+00
3.040000e+04 9.038335e+05 5.447711e+05 1.000003e+00
3.050000e+04 8.901113e+05 5.609863e+05 1.000003e+00
3.060000e+04 9.468204e+05 5.958527e+05 1.000003e+00
3.070000e+04 9.082253e+05 5.772547e+05 1.000003e+00
3.080000e+04 9.120442e+05 6.302865e+05 1.000003e+00
3.090000e+04 9.043168e+05 5.605556e+05 1.000003e+00
3.100000e+04 8.923167e+05 5.413996e+05 1.000003e+00
3.110000e+04 9.008784e+05 5.569383e+05 1.000003e+00
3.120000e+04 9.341003e+05 5.806425e+05 1.000003e+00
3.130000e+04 9.135828e+05 5.828213e+05 1.000003e+00
3.140000e+04 9.489834e+05 6.065732e+05 1.000003e+00
3.150000e+04 9.295727e+05 5.086270e+05 1.000003e+00
3.160000e+04 9.563305e+05 6.237090e+05 1.000003e+00
3.170000e+04 9.139478e+05 5.855379e+05 1.000003e+00
3.180000e+04 9.448838e+05 5.788011e+05 1.000003e+00
3.190000e+04 9.500127e+05 6.599714e+05 1.000003e+00
3.200000e+04 9.049827e+05 5.851433e+05 1.000003e+00
3.210000e+04 8.875083e+05 5.485190e+05 1.000003e+00
3.220000e+04 9.582879e+05 5.633198e+05 1.000003e+00
3.230000e+04 9.820043e+05 6.584742e+05 1.000003e+00
3.240000e+04 9.237310e+05 5.200055e+05 1.000003e+00
3.250000e+04 9.240874e+05 5.567068e+05 1.000003e+00
3.260000e+04 9.567048e+05 5.780455e+05 1.000003e+00
3.270000e+04 9.378209e+05 6.245309e+05 1.000003e+00
3.280000e+04 8.846235e+05 5.492015e+05 1.000003e+00
3.290000e+04 9.525526e+05 6.099168e+05 1.000003e+00
3.300000e+04 9.081227e+05 5.547516e+05 1.000003e+00
3.310000e+04 8.843038e+05 5.445456e+05 1.000003e+00
3.320000e+04 9.067226e+05 5.839472e+05 1.000003e+00
3.330000e+04 9.256260e+05 6.337449e+05 1.000003e+00
3.340000e+04 9.767543e+05 6.516219e+05 1.000003e+00
3.350000e+04 9.332842e+05 5.721680e+05 1.000003e+00
3.360000e+04 9.299028e+05 6.397445e+05 1.000003e+00
3.370000e+04 9.296603e+05 6.399625e+05 1.000003e+00
3.380000e+04 9.180338e+05 5.865266e+05 1.000003e+00
3.390000e+04 9.055481e+05 5.884578e+05 1.000003e+00
3.400000e+04 9.591659e+05 6.269151e+05 1.000003e+00
3.410000e+04 9.071196e+05 5.836643e+05 1.000003e+00
3.420000e+04 9.330365e+05 6.226695e+05 1.000003e+00
3.430000e+04 8.742288e+05 5.883909e+05 1.000003e+00
3.440000e+04 9.475559e+05 5.948757e+05 1.000003e+00
3.450000e+04 8.672066e+05 5.708001e+05 1.000003e+00
3.460000e+04 9.550932e+05 5.985627e+05 1.000003e+00
3.470000e+04 9.112392e+05 5.883274e+05 1.000003e+00
3.480000e+04 8.798011e+05 4.981634e+05 1.000003e+00
3.490000e+04 9.153751e+05 5.928447e+05 1.000003e+00
3.500000e+04 8.527678e+05 5.353995e+05 1.000003e+00
3.510000e+04 9.500055e+05 5.714728e+05 1.000003e+00
3.520000e+04 9.035967e+05 5.442008e+05 1.000003e+00
3.530000e+04 9.091665e+05 5.430332e+05 1.000003e+00
3.540000e+04 9.676450e+05 6.028363e+05 1.000003e+00
3.550000e+04 9.230670e+05 5.796831e+05 1.000003e+00
3.560000e+04 9.512010e+05 6.317677e+05 1.000003e+00
3.570000e+04 8.478345e+05 5.895057e+05 1.000003e+00
3.580000e+04 9.130273e+05 5.706505e+05 1.000003e+00
3.590000e+04 8.987838e+05 5.005818e+05 1.000003e+00
3.600000e+04 9.480369e+05 6.255517e+05 1.000003e+00
3.610000e+04 8.933070e+05 5.992805e+05 1.000003e+00
3.620000e+04 9.270445e+05 5.722304e+05 1.000003e+00
3.630000e+04 9.872986e+05 6.448088e+05 1.000003e+00
3.640000e+04 9.696252e+05 5.855415e+05 1.000003e+00
3.650000e+04 8.906794e+05 6.311152e+05 1.000003e+00
3.660000e+04 9.225426e+05 5.651091e+05 1.000003e+00
3.670000e+04 9.207664e+05 6.177622e+05 1.000003e+00
3.680000e+04 9.190100e+05 5.729700e+05 1.000003e+00
3.690000e+04 9.057977e+05 5.949471e+05 1.000003e+00
3.700000e+04 9.307165e+05 5.951251e+05 1.000003e+00
3.710000e+04 8.571254e+05 5.867657e+05 1.000003e+00
3.720000e+04 8.876222e+05 5.454723e+05 1.000003e+00
3.730000e+04 9.402474e+05 5.488954e+05 1.000003e+00
3.740000e+04 9.541210e+05 6.038500e+05 1.000003e+00
3.750000e+04 9.494270e+05 5.671212e+05 1.000003e+00
3.760000e+04 8.910507e+05 5.604084e+05 1.000003e+00
3.770000e+04 9.293073e+05 5.929633e+05 1.000003e+00
3.780000e+04 9.182751e+05 6.142634e+05 1.000003e+00
3.790000e+04 9.110619e+05 5.744261e+05 1.000003e+00
3.800000e+04 8.875818e+05 5.532477e+05 1.000003e+00
3.810000e+04 8.974318e+05 6.693149e+05 1.000003e+00
3.820000e+04 9.536828e+05 5.853758e+05 1.000003e+00
3.830000e+04 8.976406e+05 5.824189e+05 1.000003e+00
3.840000e+04 9.126364e+05 5.758095e+05 1.000003e+00
3.850000e+04 9.507507e+05 5.904694e+05 1.000003e+00
3.860000e+04 9.219405e+05 5.702139e+05 1.000003e+00
3.870000e+04 9.285025e+05 5.896663e+05 1.000003e+00
3.880000e+04 8.874373e+05 5.695365e+05 1.000003e+00
3.890000e+04 9.462402e+05 6.322925e+05 1.000003e+00
3.900000e+04 8.672494e+05 4.900030e+05 1.000003e+00
3.910000e+04 9.186846e+05 5.992937e+05 1.000003e+00
3.920000e+04 9.017389e+05 6.115221e+05 1.000003e+00
3.930000e+04 9.264886e+05 6.146374e+05 1.000003e+00
3.940000e+04 9.139851e+05 6.215989e+05 1.000003e+00
3.950000e+04 9.047827e+05 5.252281e+05 1.000003e+00
3.960000e+04 9.114188e+05 5.361026e+05 1.000003e+00
3.970000e+04 9.321355e+05 6.247612e+05 1.000003e+00
3.980000e+04 9.483589e+05 6.322829e+05 1.000003e+00
3.990000e+04 9.599076e+05 5.779622e+05 1.000003e+00
