# iteration  lambda_u  lambda_ut  lambda_r
3.360000e+04 3.689573e+08 1.549278e+07 1.000000e+00
3.370000e+04 3.609586e+08 1.493338e+07 1.000000e+00
3.380000e+04 3.637108e+08 1.428372e+07 1.000000e+00
3.390000e+04 3.674511e+08 1.483277e+07 1.000000e+00
3.400000e+04 3.807010e+08 1.556282e+07 1.000000e+00
3.410000e+04 3.731303e+08 1.468419e+07 1.000000e+00
3.420000e+04 3.608060e+08 1.584191e+07 1.000000e+00
3.430000e+04 3.761717e+08 1.602228e+07 1.000000e+00
3.440000e+04 3.667837e+08 1.451725e+07 1.000000e+00
3.450000e+04 3.739268e+08 1.609276e+07 1.000000e+00
3.460000e+04 3.584195e+08 1.476348e+07 1.000000e+00
3.470000e+04 3.726698e+08 1.510980e+07 1.000000e+00
3.480000e+04 3.838266e+08 1.430628e+07 1.000000e+00
3.490000e+04 3.693152e+08 1.516673e+07 1.000000e+00
3.500000e+04 3.765460e+08 1.475116e+07 1.000000e+00
3.510000e+04 3.719421e+08 1.478293e+07 1.000000e+00
3.520000e+04 3.609973e+08 1.451629e+07 1.000000e+00
3.530000e+04 3.761929e+08 1.511129e+07 1.000000e+00
3.540000e+04 3.665169e+08 1.444735e+07 1.000000e+00
3.550000e+04 3.819492e+08 1.498280e+07 1.000000e+00
3.560000e+04 3.683617e+08 1.499759e+07 1.000000e+00
3.570000e+04 3.732533e+08 1.537181e+07 1.000000e+00
3.580000e+04 3.769833e+08 1.557636e+07 1.000000e+00
3.590000e+04 3.737208e+08 1.432351e+07 1.000000e+00
3.600000e+04 3.613253e+08 1.480829e+07 1.000000e+00
3.610000e+04 3.678245e+08 1.483251e+07 1.000000e+00
3.620000e+04 3.711282e+08 1.461178e+07 1.000000e+00
3.630000e+04 3.713823e+08 1.494056e+07 1.000000e+00
3.640000e+04 3.579923e+08 1.438198e+07 1.000000e+00
3.650000e+04 3.707309e+08 1.522433e+07 1.000000e+00
3.660000e+04 3.575098e+08 1.394182e+07 1.000000e+00
3.670000e+04 3.800136e+08 1.545329e+07 1.000000e+00
3.680000e+04 3.662242e+08 1.432970e+07 1.000000e+00
3.690000e+04 3.681060e+08 1.506142e+07 1.000000e+00
3.700000e+04 3.804204e+08 1.523754e+07 1.000000e+00
3.710000e+04 3.712444e+08 1.506533e+07 1.000000e+00
3.720000e+04 3.762922e+08 1.520548e+07 1.000000e+00
3.730000e+04 3.635660e+08 1.425582e+07 1.000000e+00
3.740000e+04 3.760008e+08 1.495482e+07 1.000000e+00
3.750000e+04 3.729199e+08 1.418240e+07 1.000000e+00
3.760000e+04 3.779317e+08 1.460881e+07 1.000000e+00
3.770000e+04 3.720254e+08 1.459515e+07 1.000000e+00
3.780000e+04 3.772307e+08 1.541849e+07 1.000000e+00
3.790000e+04 3.747758e+08 1.459890e+07 1.000000e+00
3.800000e+04 3.716539e+08 1.484408e+07 1.000000e+00
3.810000e+04 3.805307e+08 1.618775e+07 1.000000e+00
