# iteration  l2_Plain_fixed  l2_Plain_adapt  l2_MFF_fixed  l2_MFF_adapt  l2_ST_MFF_fixed  l2_ST_MFF_adapt
1.170000e+04 1.025342e+00 8.575794e-01 1.045911e+00 1.038475e+00 1.036661e+00 9.424392e-02
1.180000e+04 1.024140e+00 8.568793e-01 1.039661e+00 1.039228e+00 1.036725e+00 9.217674e-02
1.190000e+04 1.021763e+00 8.567794e-01 1.039244e+00 1.038358e+00 1.036571e+00 9.005531e-02
1.200000e+04 1.021906e+00 8.563721e-01 1.040967e+00 1.037588e+00 1.035394e+00 8.711833e-02
1.210000e+04 1.026046e+00 8.558928e-01 1.037721e+00 1.036471e+00 1.036324e+00 8.754285e-02
1.220000e+04 1.021227e+00 8.554785e-01 1.046757e+00 1.037348e+00 1.036468e+00 8.697353e-02
1.230000e+04 1.022634e+00 8.543166e-01 1.042640e+00 1.037345e+00 1.037051e+00 8.707455e-02
1.240000e+04 1.022361e+00 8.541933e-01 1.043127e+00 1.035894e+00 1.035282e+00 8.157727e-02
1.250000e+04 1.021720e+00 8.543184e-01 1.042710e+00 1.036337e+00 1.035086e+00 8.175070e-02
1.260000e+04 1.029399e+00 8.546450e-01 1.040220e+00 1.034903e+00 1.035964e+00 7.603962e-02
1.270000e+04 1.021026e+00 8.524861e-01 1.042795e+00 1.035639e+00 1.035847e+00 7.335907e-02
1.280000e+04 1.020516e+00 8.532840e-01 1.041073e+00 1.035595e+00 1.036421e+00 7.482935e-02
1.290000e+04 1.022895e+00 8.513989e-01 1.040525e+00 1.033984e+00 1.036431e+00 6.987039e-02
1.300000e+04 1.020592e+00 8.519630e-01 1.041023e+00 1.033955e+00 1.036638e+00 6.832112e-02
1.310000e+04 1.021646e+00 8.517805e-01 1.038744e+00 1.033519e+00 1.034996e+00 6.750894e-02
1.320000e+04 1.020953e+00 8.510011e-01 1.040948e+00 1.033944e+00 1.033183e+00 6.969787e-02
1.330000e+04 1.021618e+00 8.512095e-01 1.041226e+00 1.033462e+00 1.035736e+00 6.752113e-02
1.340000e+04 1.021793e+00 8.504843e-01 1.038025e+00 1.033119e+00 1.035470e+00 6.363999e-02
1.350000e+04 1.021062e+00 8.497497e-01 1.042638e+00 1.032696e+00 1.034561e+00 6.918728e-02
1.360000e+04 1.022695e+00 8.504768e-01 1.037495e+00 1.032513e+00 1.035304e+00 6.371409e-02
1.370000e+04 1.022351e+00 8.502199e-01 1.042517e+00 1.031658e+00 1.034540e+00 6.004606e-02
1.380000e+04 1.022704e+00 8.496475e-01 1.043129e+00 1.031797e+00 1.035444e+00 5.796623e-02
1.390000e+04 1.024099e+00 8.486208e-01 1.040800e+00 1.030750e+00 1.034351e+00 5.698459e-02
1.400000e+04 1.020442e+00 8.484834e-01 1.038690e+00 1.030884e+00 1.033150e+00 5.479784e-02
1.410000e+04 1.019372e+00 8.478896e-01 1.046059e+00 1.030477e+00 1.032173e+00 5.152621e-02
1.420000e+04 1.020696e+00 8.483363e-01 1.044661e+00 1.030210e+00 1.033061e+00 5.909212e-02
1.430000e+04 1.019990e+00 8.477229e-01 1.040388e+00 1.029836e+00 1.034769e+00 5.830569e-02
1.440000e+04 1.021045e+00 8.477668e-01 1.039366e+00 1.030277e+00 1.033141e+00 5.301076e-02
1.450000e+04 1.021298e+00 8.475720e-01 1.038785e+00 1.029421e+00 1.034713e+00 4.919508e-02
1.460000e+04 1.019617e+00 8.478317e-01 1.039586e+00 1.029268e+00 1.033547e+00 4.732603e-02
1.470000e+04 1.020216e+00 8.469462e-01 1.041637e+00 1.028989e+00 1.035228e+00 4.810092e-02
1.480000e+04 1.021476e+00 8.465933e-01 1.044324e+00 1.028730e+00 1.035512e+00 4.484477e-02
1.490000e+04 1.019978e+00 8.466065e-01 1.043210e+00 1.028882e+00 1.032891e+00 5.290626e-02
1.500000e+04 1.019912e+00 8.464462e-01 1.041160e+00 1.027849e+00 1.033757e+00 4.804270e-02
1.510000e+04 1.019933e+00 8.463415e-01 1.038341e+00 1.028064e+00 1.034733e+00 4.552685e-02
1.520000e+04 1.020393e+00 8.455073e-01 1.041712e+00 1.027832e+00 1.033333e+00 4.336668e-02
1.530000e+04 1.019490e+00 8.456660e-01 1.038047e+00 1.027022e+00 1.032004e+00 4.030566e-02
1.540000e+04 1.019061e+00 8.454539e-01 1.039797e+00 1.027015e+00 1.034423e+00 3.923228e-02
1.550000e+04 1.021182e+00 8.454997e-01 1.041397e+00 1.026898e+00 1.034332e+00 3.878532e-02
1.560000e+04 1.019919e+00 8.453212e-01 1.041530e+00 1.026562e+00 1.033728e+00 3.742616e-02
