# iteration  loss_res  loss_bcs  loss_ut  l2_error  lambda_u  lambda_ut  lambda_r
1.000000e+04 2.295067e-01 1.152110e-04 6.114235e-04 2.145374e-02 6.418402e+03 3.150033e+01 1.032953e+00
1.010000e+04 4.699504e-01 1.422416e-04 1.110500e-02 2.250959e-02 5.841426e+03 2.982733e+01 1.034873e+00
1.020000e+04 3.786954e-01 1.007153e-04 1.937453e-03 2.215512e-02 6.765777e+03 3.402051e+01 1.030441e+00
1.030000e+04 3.732722e-01 9.777074e-05 6.975090e-03 2.221844e-02 6.409440e+03 3.157191e+01 1.032876e+00
1.040000e+04 3.223605e-01 1.024286e-04 1.625133e-03 1.955948e-02 6.114242e+03 2.990154e+01 1.034775e+00
1.050000e+04 4.115174e-01 1.038435e-04 3.868575e-03 1.962131e-02 6.356039e+03 3.274614e+01 1.031667e+00
1.060000e+04 8.105512e-01 1.462995e-04 1.489530e-02 1.981400e-02 6.310143e+03 3.329387e+01 1.031134e+00
1.070000e+04 3.404453e-01 1.081632e-04 2.332309e-03 2.077801e-02 6.433277e+03 3.284167e+01 1.031571e+00
1.080000e+04 3.026558e-01 1.515771e-04 4.673075e-03 1.902514e-02 6.581809e+03 3.278460e+01 1.031623e+00
1.090000e+04 2.463272e-01 1.653737e-04 4.409913e-03 1.940374e-02 6.413663e+03 3.111517e+01 1.033372e+00
1.100000e+04 2.762282e-01 1.002908e-04 9.897847e-03 1.971297e-02 6.407687e+03 3.320802e+01 1.031214e+00
1.110000e+04 3.569420e-01 1.063293e-04 5.504141e-04 1.861038e-02 6.242408e+03 3.434855e+01 1.030156e+00
1.120000e+04 3.434828e-01 6.565189e-05 5.898638e-03 1.813468e-02 5.761501e+03 3.038710e+01 1.034214e+00
1.130000e+04 2.194390e-01 6.986528e-05 2.380344e-03 1.634195e-02 6.080204e+03 3.091079e+01 1.033608e+00
1.140000e+04 3.012687e-01 1.309902e-04 4.562305e-03 1.756347e-02 6.387384e+03 3.163718e+01 1.032807e+00
1.150000e+04 3.688070e-01 1.619599e-04 4.880984e-03 1.594263e-02 6.326470e+03 3.055259e+01 1.034007e+00
1.160000e+04 3.280410e-01 1.265676e-04 1.406345e-03 1.710259e-02 5.926658e+03 2.923983e+01 1.035592e+00
1.170000e+04 2.382919e-01 1.091844e-04 8.779445e-04 1.661709e-02 6.415408e+03 3.200470e+01 1.032419e+00
1.180000e+04 1.741773e-01 6.411450e-05 3.466915e-03 1.531255e-02 6.126338e+03 3.122851e+01 1.033256e+00
1.190000e+04 4.135912e-01 1.089670e-04 1.478553e-03 1.704047e-02 6.128900e+03 3.254624e+01 1.031873e+00
1.200000e+04 3.203335e-01 7.724134e-05 5.363339e-03 1.652076e-02 6.093006e+03 2.889598e+01 1.036024e+00
