# iteration  lambda_u  lambda_ut  lambda_r
2.040000e+04 6.086378e+03 3.139960e+01 1.033070e+00
2.050000e+04 6.574305e+03 3.394490e+01 1.030515e+00
2.060000e+04 5.995969e+03 3.076412e+01 1.033776e+00
2.070000e+04 6.347633e+03 2.960850e+01 1.035123e+00
2.080000e+04 6.302616e+03 3.055689e+01 1.034003e+00
2.090000e+04 6.106115e+03 3.146480e+01 1.032999e+00
2.100000e+04 6.246352e+03 3.099695e+01 1.033508e+00
2.110000e+04 6.266734e+03 3.035849e+01 1.034232e+00
2.120000e+04 6.016710e+03 2.843780e+01 1.036625e+00
2.130000e+04 6.514867e+03 3.114820e+01 1.033333e+00
2.140000e+04 6.120507e+03 3.092365e+01 1.033593e+00
2.150000e+04 6.236995e+03 3.138047e+01 1.033087e+00
2.160000e+04 5.705527e+03 2.716384e+01 1.038410e+00
2.170000e+04 5.989312e+03 2.980284e+01 1.034898e+00
2.180000e+04 6.127813e+03 2.977848e+01 1.034923e+00
2.190000e+04 6.524249e+03 3.444632e+01 1.030061e+00
2.200000e+04 6.419327e+03 3.196726e+01 1.032458e+00
2.210000e+04 6.380587e+03 3.118362e+01 1.033298e+00
2.220000e+04 6.503050e+03 3.097483e+01 1.033525e+00
2.230000e+04 6.129581e+03 3.151117e+01 1.032949e+00
2.240000e+04 6.318993e+03 3.243022e+01 1.031985e+00
2.250000e+04 5.959792e+03 2.868225e+01 1.036304e+00
2.260000e+04 6.069446e+03 3.020005e+01 1.034423e+00
2.270000e+04 6.515586e+03 3.598280e+01 1.028748e+00
2.280000e+04 6.464090e+03 3.282781e+01 1.031584e+00
2.290000e+04 6.435334e+03 3.182371e+01 1.032608e+00
2.300000e+04 5.908511e+03 3.008536e+01 1.034563e+00
2.310000e+04 6.277436e+03 3.276331e+01 1.031652e+00
2.320000e+04 6.306044e+03 3.053555e+01 1.034027e+00
2.330000e+04 6.339127e+03 3.289987e+01 1.031516e+00
2.340000e+04 5.961804e+03 2.985147e+01 1.034840e+00
2.350000e+04 6.241719e+03 3.236393e+01 1.032054e+00
2.360000e+04 6.234868e+03 3.070094e+01 1.033840e+00
2.370000e+04 6.526871e+03 3.191197e+01 1.032513e+00
2.380000e+04 6.256715e+03 3.264137e+01 1.031774e+00
2.390000e+04 6.172850e+03 3.176858e+01 1.032673e+00
2.400000e+04 5.701946e+03 2.826850e+01 1.036861e+00
2.410000e+04 6.245639e+03 2.987948e+01 1.034798e+00
2.420000e+04 6.280007e+03 3.238206e+01 1.032035e+00
2.430000e+04 6.530062e+03 3.147052e+01 1.032982e+00
2.440000e+04 6.309737e+03 3.318973e+01 1.031234e+00
2.450000e+04 6.263231e+03 3.342085e+01 1.031014e+00
2.460000e+04 6.627968e+03 3.310241e+01 1.031311e+00
2.470000e+04 6.132695e+03 3.171695e+01 1.032729e+00
2.480000e+04 6.073050e+03 2.993669e+01 1.034734e+00
2.490000e+04 6.436129e+03 3.183477e+01 1.032596e+00
2.500000e+04 6.629409e+03 3.430173e+01 1.030189e+00
2.510000e+04 6.095931e+03 2.909551e+01 1.035769e+00
2.520000e+04 5.879773e+03 2.871906e+01 1.036259e+00
2.530000e+04 6.095666e+03 3.192131e+01 1.032515e+00
2.540000e+04 6.016718e+03 2.909499e+01 1.035772e+00
2.550000e+04 6.864703e+03 3.306119e+01 1.031345e+00
2.560000e+04 6.372834e+03 3.093293e+01 1.033576e+00
2.570000e+04 6.078805e+03 3.084544e+01 1.033682e+00
2.580000e+04 6.229566e+03 3.292039e+01 1.031499e+00
2.590000e+04 5.852346e+03 3.165486e+01 1.032804e+00
2.600000e+04 5.882270e+03 2.807025e+01 1.037124e+00
2.610000e+04 6.151796e+03 3.025994e+01 1.034350e+00
2.620000e+04 6.294184e+03 3.073420e+01 1.033801e+00
2.630000e+04 6.289858e+03 3.259526e+01 1.031820e+00
2.640000e+04 6.255202e+03 2.962304e+01 1.035108e+00
2.650000e+04 5.940615e+03 2.888299e+01 1.036045e+00
2.660000e+04 6.415243e+03 3.274026e+01 1.031672e+00
2.670000e+04 6.174700e+03 3.178645e+01 1.032655e+00
2.680000e+04 5.997189e+03 3.164795e+01 1.032806e+00
2.690000e+04 6.308229e+03 3.153269e+01 1.032921e+00
2.700000e+04 6.386768e+03 3.279105e+01 1.031622e+00
2.710000e+04 6.414301e+03 3.247025e+01 1.031942e+00
2.720000e+04 6.307316e+03 3.026131e+01 1.034344e+00
2.730000e+04 6.061058e+03 3.219514e+01 1.032232e+00
2.740000e+04 6.559556e+03 3.288873e+01 1.031521e+00
2.750000e+04 6.458358e+03 3.046673e+01 1.034102e+00
2.760000e+04 5.861634e+03 3.091588e+01 1.033609e+00
2.770000e+04 6.083491e+03 2.886790e+01 1.036060e+00
2.780000e+04 6.170066e+03 2.889816e+01 1.036019e+00
2.790000e+04 6.015480e+03 2.975415e+01 1.034956e+00
2.800000e+04 6.151548e+03 3.077808e+01 1.033755e+00
2.810000e+04 5.974852e+03 2.999255e+01 1.034671e+00
2.820000e+04 6.112317e+03 3.032561e+01 1.034275e+00
2.830000e+04 6.343001e+03 3.329606e+01 1.031131e+00
2.840000e+04 5.710750e+03 2.947176e+01 1.035310e+00
2.850000e+04 6.239366e+03 3.371948e+01 1.030733e+00
2.860000e+04 6.276099e+03 3.006997e+01 1.034570e+00
2.870000e+04 6.417278e+03 3.185921e+01 1.032571e+00
2.880000e+04 6.681872e+03 3.271655e+01 1.031689e+00
2.890000e+04 6.236181e+03 3.234697e+01 1.032072e+00
2.900000e+04 6.195503e+03 3.259152e+01 1.031826e+00
2.910000e+04 6.646586e+03 3.446844e+01 1.030039e+00
2.920000e+04 6.278352e+03 3.097254e+01 1.033534e+00
2.930000e+04 6.144820e+03 2.974851e+01 1.034959e+00
2.940000e+04 5.999606e+03 2.849063e+01 1.036555e+00
2.950000e+04 6.183214e+03 3.074577e+01 1.033791e+00
2.960000e+04 6.189308e+03 3.096502e+01 1.033545e+00
2.970000e+04 6.597788e+03 3.305717e+01 1.031355e+00
2.980000e+04 6.452944e+03 3.338152e+01 1.031047e+00
2.990000e+04 5.962846e+03 3.054121e+01 1.034030e+00
