case,method,budget,n_seeds,target_params,matched_within_tol,total_params_mean,total_params_std,best_l2_mean,best_l2_std,final_l2_mean,final_l2_std,wall_clock_train_sec_mean,wall_clock_train_sec_std,ms_per_100_epoch_mean,ms_per_100_epoch_std,peak_gpu_mem_mb_mean,peak_gpu_mem_mb_std,inference_time_ms_mean,inference_time_ms_std,n_collocation_mean,n_collocation_std,best_l2_min
case7,FourierPINN,matched,3,1944,True,2047.0,0.0,0.36236628076129246,0.2841325384177224,0.3630812790574994,0.2834043567891482,8.132860978444418,0.05497636245310765,81.34487876019621,0.5498735992509327,261.405952,0.0,2.0714600880940757,0.027523146055840726,20000.0,0.0,0.07265063531665092
case7,FourierPINN,rich,3,,,66177.0,0.0,0.18226799151401654,0.08748816924393303,0.1836354094309548,0.08623647529690662,32.485992987950645,0.025035496991208352,324.92491486247894,0.250405050922266,354.957056,0.0,3.6751349767049155,0.24357605666556714,20000.0,0.0,0.09836056822993966
case7,PINN,matched,3,1944,True,1897.0,0.0,1.4935540290855014,0.22536173501600126,7.297411124883626,2.326427789993723,5.497284968694051,0.02981321413414515,54.98384645623175,0.29819177969739086,135.356928,0.0,0.7132371266682943,0.024429566684897236,20000.0,0.0,1.1992230514689974
case7,PINN,rich,3,,,50049.0,0.0,1.9208972459197253,0.7567228158345817,7.338722935813354,4.15195868831063,36.00773477554321,0.1264604594299813,360.1493776309583,1.2648575658129817,375.3344,0.0,1.5401283899943035,0.06397797598083187,20000.0,0.0,1.3556911663419418
case7,SIREN,matched,3,1944,True,1803.0,0.0,0.27101547807222887,0.08832800488336283,0.282458648674697,0.07618804975967274,12.874546130498251,0.05102666631352475,128.77121554809216,0.5103687368826305,608.994304,0.0,2.5605201721191406,0.029496897626406317,20000.0,0.0,0.15035475201030402
case7,SIREN,rich,3,,,82689.0,0.0,0.19948788441374388,0.02505360849167813,0.19948788441374388,0.02505360849167813,50.225316206614174,0.349102476018945,502.35363279270035,3.4917231048104473,586.828544,0.0,3.5770336786905923,0.19913213888356343,20000.0,0.0,0.16879845675788122
case7,SPINN,matched,3,1944,True,1944.0,0.0,0.12325866025123873,0.03405053892871391,0.12325866025123873,0.03405053892871391,10.296636581420898,0.1706962661010107,102.98696320685036,1.7073041218344744,72.75392,0.0,1.8959363301595051,0.19535060128209347,10000.0,0.0,0.07535462180478705
case7,SPINN,rich,3,,,91136.0,0.0,0.6929161337812739,0.034172510285690974,0.6929161337812739,0.034172510285690974,17.46082615852356,0.1912199893211762,174.64319022328027,1.9125824096936932,142.899712,0.0,3.857755661010742,0.16937868115990704,10000.0,0.0,0.6476030904962693
case7,SVSNN,best,3,,,1944.0,0.0,0.0301553479330135,0.003458523689770893,0.0301553479330135,0.003458523689770893,14.093863328297934,0.23365978288381728,140.966826648309,2.3370652418865565,72.421888,0.0,16.785089174906414,0.8182546731015901,10000.0,0.0,0.025382043435282796
case8,FourierPINN,matched,3,2688,True,2607.0,0.0,0.3931925697749538,0.06309380026659676,0.6669123146774645,0.17858022080121203,18.157277186711628,0.19086454558565696,181.5727718671163,1.9086454558565698,269.89952,0.0,nan,nan,5000.0,0.0,0.33705569520938655
