# iteration  l2_NN  l2_FF  l2_ST_FF
1.900000e+04 1.001026e+00 1.000185e+00 4.182271e-03
1.910000e+04 1.000375e+00 1.000024e+00 4.601705e-03
1.920000e+04 1.000001e+00 1.000628e+00 4.709409e-03
1.930000e+04 1.000136e+00 1.000015e+00 4.620605e-03
1.940000e+04 1.002280e+00 1.000404e+00 4.692485e-03
1.950000e+04 1.000552e+00 1.000052e+00 5.562039e-03
1.960000e+04 1.000040e+00 1.000040e+00 5.429984e-03
1.970000e+04 1.000046e+00 1.000031e+00 5.198807e-03
1.980000e+04 1.000005e+00 1.000002e+00 4.939454e-03
1.990000e+04 1.000013e+00 1.000128e+00 4.967483e-03
2.000000e+04 1.000002e+00 1.000064e+00 4.469243e-03
2.010000e+04 1.000024e+00 1.000012e+00 4.966464e-03
2.020000e+04 1.000040e+00 9.999999e-01 3.427010e-03
2.030000e+04 1.000038e+00 1.000049e+00 5.060142e-03
2.040000e+04 1.000041e+00 1.000094e+00 3.708273e-03
2.050000e+04 1.000001e+00 1.000061e+00 4.327176e-03
2.060000e+04 1.000012e+00 1.000034e+00 5.632964e-03
2.070000e+04 1.000026e+00 1.000012e+00 4.050597e-03
2.080000e+04 1.000116e+00 1.000300e+00 4.963741e-03
2.090000e+04 1.000122e+00 1.000000e+00 4.606298e-03
2.100000e+04 1.000404e+00 1.000434e+00 5.871458e-03
2.110000e+04 1.000147e+00 1.000083e+00 5.435178e-03
2.120000e+04 1.000142e+00 1.000039e+00 3.613623e-03
2.130000e+04 1.000128e+00 1.000100e+00 3.168843e-03
2.140000e+04 1.000969e+00 1.000106e+00 4.509450e-03
2.150000e+04 1.000006e+00 1.000025e+00 4.050358e-03
2.160000e+04 1.000015e+00 1.000052e+00 4.085512e-03
2.170000e+04 1.000168e+00 1.000016e+00 3.750172e-03
2.180000e+04 1.000005e+00 1.000026e+00 3.809694e-03
2.190000e+04 1.000024e+00 1.000108e+00 3.296112e-03
2.200000e+04 1.000221e+00 1.000002e+00 3.367777e-03
2.210000e+04 1.000037e+00 1.000002e+00 3.943693e-03
2.220000e+04 1.000141e+00 1.000020e+00 4.709338e-03
2.230000e+04 1.000186e+00 1.000004e+00 3.942631e-03
2.240000e+04 1.000058e+00 1.000112e+00 3.840581e-03
2.250000e+04 1.000163e+00 1.000022e+00 2.994897e-03
2.260000e+04 1.000065e+00 1.000012e+00 3.767789e-03
2.270000e+04 1.000245e+00 1.000167e+00 3.318749e-03
2.280000e+04 1.000402e+00 1.000003e+00 3.760897e-03
2.290000e+04 1.000002e+00 1.000032e+00 3.420770e-03
2.300000e+04 1.001122e+00 1.000376e+00 3.287219e-03
2.310000e+04 1.000474e+00 1.000561e+00 3.181985e-03
2.320000e+04 1.000000e+00 1.000148e+00 3.455858e-03
2.330000e+04 1.000007e+00 1.000045e+00 3.679617e-03
2.340000e+04 1.000011e+00 1.000077e+00 3.749108e-03
2.350000e+04 1.000054e+00 1.000000e+00 3.433156e-03
2.360000e+04 1.000029e+00 1.000006e+00 2.956360e-03
2.370000e+04 1.000024e+00 1.000072e+00 4.023064e-03
2.380000e+04 1.000260e+00 1.000027e+00 2.770624e-03
2.390000e+04 1.000030e+00 1.000067e+00 3.206449e-03
2.400000e+04 1.000047e+00 1.000042e+00 3.036456e-03
2.410000e+04 1.000047e+00 1.000009e+00 3.200487e-03
2.420000e+04 1.000480e+00 1.000174e+00 3.957956e-03
2.430000e+04 1.000066e+00 1.000003e+00 3.051385e-03
2.440000e+04 1.000133e+00 1.000093e+00 3.044278e-03
2.450000e+04 1.000037e+00 1.000044e+00 2.963492e-03
2.460000e+04 1.000049e+00 1.000044e+00 4.085896e-03
2.470000e+04 1.000288e+00 1.000199e+00 3.274934e-03
2.480000e+04 1.000269e+00 1.000096e+00 3.936118e-03
2.490000e+04 1.000013e+00 1.000070e+00 2.660655e-03
2.500000e+04 1.000586e+00 1.000129e+00 2.926828e-03
2.510000e+04 1.000001e+00 1.000001e+00 3.231243e-03
2.520000e+04 1.000068e+00 1.000003e+00 3.130769e-03
2.530000e+04 1.000124e+00 1.000022e+00 2.962500e-03
2.540000e+04 1.000155e+00 1.000014e+00 2.597292e-03
2.550000e+04 1.000001e+00 1.000000e+00 2.787488e-03
2.560000e+04 1.000004e+00 1.000006e+00 2.599671e-03
2.570000e+04 1.000007e+00 1.000016e+00 3.194412e-03
2.580000e+04 1.000037e+00 1.000248e+00 2.949789e-03
2.590000e+04 1.000116e+00 1.000073e+00 2.781083e-03
2.600000e+04 1.000057e+00 1.000000e+00 2.842346e-03
2.610000e+04 1.000076e+00 1.000206e+00 3.371078e-03
2.620000e+04 1.000110e+00 1.000006e+00 2.373453e-03
2.630000e+04 1.000021e+00 1.000005e+00 3.404194e-03
2.640000e+04 1.000203e+00 1.000056e+00 2.468121e-03
2.650000e+04 1.000036e+00 1.000026e+00 2.219770e-03
2.660000e+04 1.000004e+00 1.000003e+00 2.463288e-03
2.670000e+04 1.000010e+00 1.000003e+00 3.386490e-03
2.680000e+04 1.000307e+00 1.000063e+00 2.665505e-03
2.690000e+04 1.000082e+00 1.000001e+00 2.580740e-03
2.700000e+04 1.000017e+00 1.000005e+00 2.215131e-03
2.710000e+04 1.000051e+00 1.000039e+00 2.648676e-03
2.720000e+04 1.000565e+00 1.000593e+00 2.361936e-03
2.730000e+04 1.000046e+00 1.000011e+00 2.411776e-03
2.740000e+04 1.000056e+00 1.000009e+00 3.106456e-03
2.750000e+04 1.000039e+00 1.000010e+00 2.581490e-03
2.760000e+04 1.000194e+00 1.000126e+00 2.203825e-03
2.770000e+04 1.000001e+00 1.000002e+00 3.710320e-03
2.780000e+04 1.000002e+00 1.000000e+00 2.692803e-03
2.790000e+04 1.000001e+00 1.000003e+00 3.052095e-03
2.800000e+04 1.000082e+00 1.000019e+00 2.127097e-03
2.810000e+04 1.000014e+00 1.000003e+00 2.435952e-03
2.820000e+04 1.000006e+00 1.000001e+00 2.759145e-03
2.830000e+04 1.000127e+00 1.000043e+00 3.165657e-03
2.840000e+04 1.000037e+00 1.000012e+00 2.443173e-03
2.850000e+04 1.000113e+00 1.000089e+00 3.047537e-03
2.860000e+04 1.000115e+00 1.000040e+00 1.868546e-03
2.870000e+04 1.000590e+00 1.000242e+00 2.058737e-03
2.880000e+04 1.000000e+00 1.000002e+00 2.376199e-03
2.890000e+04 1.000281e+00 1.000164e+00 2.488214e-03
2.900000e+04 1.000043e+00 1.000006e+00 2.662827e-03
2.910000e+04 1.000007e+00 1.000014e+00 2.588820e-03
2.920000e+04 1.000452e+00 1.000324e+00 2.900657e-03
2.930000e+04 1.000197e+00 1.000114e+00 2.531707e-03
2.940000e+04 1.000004e+00 1.000008e+00 2.676684e-03
2.950000e+04 1.000307e+00 1.000166e+00 2.483361e-03
2.960000e+04 1.000033e+00 1.000090e+00 3.024892e-03
2.970000e+04 1.000349e+00 1.000135e+00 3.979229e-03
2.980000e+04 1.000359e+00 1.000148e+00 2.590952e-03
2.990000e+04 1.000013e+00 1.000005e+00 1.993814e-03
3.000000e+04 1.000049e+00 1.000030e+00 2.176766e-03
3.010000e+04 1.000001e+00 1.000002e+00 2.248384e-03
3.020000e+04 1.000082e+00 1.000022e+00 2.808971e-03
